Rk;Name;Age;Tm;Lg;W;L;W-L%;ERA;G;GS;GF;CG;SHO;SV;IP;H;R;ER;HR;BB;IBB;SO;HBP;BK;WP;BF;ERA+;FIP;WHIP;H9;HR9;BB9;SO9;SO/W
1;Fernando Abad*;37;COL;NL;1;0;1;4.26;6;0;2;0;0;0;6.1;11;3;3;2;3;0;2;0;0;0;32;124;8.18;2.211;15.6;2.8;4.3;2.8;0.67
2;Andrew Abbott*;24;CIN;NL;5;2;0.714;2.1;9;9;0;0;0;0;55.2;33;13;13;8;18;0;57;0;0;0;213;226;4.08;0.916;5.3;1.3;2.9;9.2;3.17
3;Cory Abbott;27;WSN;NL;0;1;0;5.49;10;0;6;0;0;0;19.2;20;12;12;4;9;0;16;1;0;1;85;77;5.83;1.475;9.2;1.8;4.1;7.3;1.78
4;Albert Abreu;27;NYY;AL;2;2;0.5;4.14;33;0;13;0;0;0;41.1;34;26;19;6;21;1;46;3;0;2;182;103;4.69;1.331;7.4;1.3;4.6;10;2.19
5;Bryan Abreu;26;HOU;AL;3;2;0.6;2.72;47;0;11;0;0;2;46.1;34;17;14;6;19;0;69;3;0;1;192;155;3.42;1.144;6.6;1.2;3.7;13.4;3.63
6;Domingo Acevedo;29;OAK;AL;0;0;0;10.61;9;0;1;0;0;0;9.1;16;11;11;2;2;1;7;1;0;1;47;40;5.54;1.929;15.4;1.9;1.9;6.8;3.5
7;Garrett Acton;25;OAK;AL;0;0;0;12.71;6;0;3;0;0;0;5.2;9;8;8;3;5;2;5;1;0;0;32;34;11.58;2.471;14.3;4.8;7.9;7.9;1
8;Jason Adam;31;TBR;AL;2;2;0.5;2.68;42;0;18;0;0;11;40.1;26;15;12;4;16;0;50;9;0;0;170;154;3.96;1.041;5.8;0.9;3.6;11.2;3.13
9;Austin Adams;32;ARI;NL;0;1;0;6.28;20;0;1;0;0;0;14.1;13;11;10;1;6;0;18;4;0;2;66;69;3.78;1.326;8.2;0.6;3.8;11.3;3
10;Ty Adcock;26;SEA;AL;0;0;0;3.45;12;0;4;0;0;0;15.2;11;7;6;4;0;0;11;0;0;0;58;122;5.2;0.702;6.3;2.3;0;6.3;0
11;Joan Adon;24;WSN;NL;0;0;0;5.4;2;0;2;0;0;0;5;3;3;3;2;2;0;4;0;0;1;20;83;8.09;1;5.4;3.6;3.6;7.2;2
12;Keegan Akin*;28;BAL;AL;2;2;0.5;6.85;24;1;7;0;0;0;23.2;35;22;18;2;7;2;27;0;0;2;112;62;2.99;1.775;13.3;0.8;2.7;10.3;3.86
13;Hanser Alberto;30;CHW;AL;0;0;0;21.6;2;0;2;0;0;0;1.2;6;4;4;1;1;0;1;0;0;0;12;24;11.69;4.2;32.4;5.4;5.4;5.4;1
14;Jorge Alcala;27;MIN;AL;0;1;0;6.46;10;0;3;0;0;0;15.1;13;12;11;4;8;0;12;1;0;0;66;68;6.88;1.37;7.6;2.3;4.7;7;1.5
15;Sandy Alcantara;27;MIA;NL;3;9;0.25;4.7;20;20;0;1;1;0;126.1;126;69;66;14;36;0;106;4;0;3;532;92;4;1.282;9;1;2.6;7.6;2.94
16;Scott Alexander*;33;SFG;NL;6;0;1;3.04;31;1;6;0;0;1;26.2;21;11;9;1;6;1;15;1;0;3;107;143;3.44;1.013;7.1;0.3;2;5.1;2.5
17;Tyler Alexander*;28;DET;AL;2;1;0.667;4.5;25;1;8;0;0;0;44;44;25;22;8;5;0;44;2;0;0;181;96;4.13;1.114;9;1.6;1;9;8.8
18;Kolby Allard*;25;ATL;NL;0;1;0;6.57;4;3;1;0;0;0;12.1;16;9;9;2;4;0;13;0;0;1;56;70;4.26;1.622;11.7;1.5;2.9;9.5;3.25
19;Logan Allen*;24;CLE;AL;4;2;0.667;3.21;13;13;0;0;0;0;67.1;67;25;24;6;25;0;71;1;0;1;292;130;3.5;1.366;9;0.8;3.3;9.5;2.84
20;Yency Almonte;29;LAD;NL;3;1;0.75;4.65;42;0;4;0;0;0;40.2;36;24;21;5;16;1;39;3;0;2;172;96;4.37;1.279;8;1.1;3.5;8.6;2.44
21;José Alvarado*;28;PHI;NL;0;0;0;1.38;26;0;7;0;0;6;26;21;7;4;2;9;1;39;0;0;2;107;314;2.33;1.154;7.3;0.7;3.1;13.5;4.33
22;Adbert Alzolay;28;CHC;NL;1;4;0.2;2.51;37;0;19;0;0;9;43;35;15;12;3;7;0;48;3;1;0;168;179;2.66;0.977;7.3;0.6;1.5;10;6.86
23;Chase Anderson;35;TOT;MLB;0;4;0;6.08;14;12;2;0;0;1;60.2;70;41;41;14;20;0;44;6;0;0;268;82;6.12;1.484;10.4;2.1;3;6.5;2.2
24;Chase Anderson;35;TBR;AL;0;0;0;0;2;0;2;0;0;1;5;2;0;0;0;1;0;2;0;0;0;18;0;3.09;0.6;3.6;0;1.8;3.6;2
25;Chase Anderson;35;COL;NL;0;4;0;6.63;12;12;0;0;0;0;55.2;68;41;41;14;19;0;42;6;0;0;250;76;6.4;1.563;11;2.3;3.1;6.8;2.21
26;Grant Anderson;26;TEX;AL;1;1;0.5;5.2;19;0;2;0;0;0;27.2;29;16;16;3;7;0;26;1;0;0;116;85;3.69;1.301;9.4;1;2.3;8.5;3.71
27;Nick Anderson;32;ATL;NL;4;0;1;3.06;35;0;3;0;0;1;35.1;30;14;12;3;9;0;36;0;0;1;141;149;3.12;1.104;7.6;0.8;2.3;9.2;4
28;Tyler Anderson*;33;LAA;AL;4;2;0.667;5.17;17;16;0;0;0;0;87;96;52;50;10;39;0;73;4;1;4;393;86;4.59;1.552;9.9;1;4;7.6;1.87
29;Clayton Andrews*;26;MIL;NL;0;1;0;27;2;0;1;0;0;0;1.2;5;6;5;1;1;0;2;0;0;1;11;19;10.49;3.6;27;5.4;5.4;10.8;2
30;Shawn Armstrong;32;TBR;AL;0;0;0;0.76;16;3;3;0;0;0;23.2;16;2;2;1;5;0;25;1;0;0;91;547;2.49;0.887;6.1;0.4;1.9;9.5;5
31;Graham Ashcraft;25;CIN;NL;5;7;0.417;5.77;18;18;0;0;0;0;93.2;105;61;60;14;39;0;66;7;1;3;419;82;5.3;1.537;10.1;1.3;3.7;6.3;1.69
32;Javier Assad;25;CHC;NL;0;2;0;3.8;15;1;8;0;0;0;42.2;40;18;18;5;20;0;33;0;0;0;178;118;4.67;1.406;8.4;1.1;4.2;7;1.65
33;Pedro Avila;26;SDP;NL;0;0;0;0;1;0;0;0;0;0;3;1;0;0;0;1;0;4;1;0;0;11;0;2.62;0.667;3;0;3;12;4
34;Sam Bachman;23;LAA;AL;1;2;0.333;3.18;11;0;4;0;0;1;17;17;7;6;0;11;1;14;1;0;3;77;142;3.76;1.647;9;0;5.8;7.4;1.27
35;Bryan Baker;28;BAL;AL;3;3;0.5;3.83;43;0;2;0;0;0;40;29;18;17;3;23;2;48;1;0;3;167;110;3.66;1.3;6.5;0.7;5.2;10.8;2.09
36;Jordan Balazovic;24;MIN;AL;1;0;1;1.38;10;0;3;0;0;0;13;11;2;2;2;4;0;9;0;0;1;52;320;4.83;1.154;7.6;1.4;2.8;6.2;2.25
37;Anthony Banda*;29;WSN;NL;0;0;0;6.43;10;0;5;0;0;0;7;9;5;5;1;5;0;6;1;0;1;35;68;6;2;11.6;1.3;6.4;7.7;1.2
38;Tanner Banks*;31;CHW;AL;0;3;0;5.61;12;3;5;0;0;0;25.2;25;16;16;5;6;0;25;2;0;0;107;79;4.81;1.208;8.8;1.8;2.1;8.8;4.17
39;Daniel Bard;38;COL;NL;4;1;0.8;2.02;34;0;7;0;0;1;35.2;20;8;8;2;27;1;32;4;1;2;150;251;4.83;1.318;5;0.5;6.8;8.1;1.19
40;Joe Barlow;27;TEX;AL;1;1;0.5;4.66;13;0;4;0;0;0;9.2;13;5;5;2;2;0;6;0;0;0;44;97;5.36;1.552;12.1;1.9;1.9;5.6;3
41;Scott Barlow;30;KCR;AL;2;4;0.333;4.89;34;0;29;0;0;11;35;31;21;19;3;19;0;45;0;0;3;154;91;3.46;1.429;8;0.8;4.9;11.6;2.37
42;Matt Barnes;33;MIA;NL;1;0;1;5.48;24;1;3;0;0;0;21.1;25;13;13;2;10;1;20;1;1;2;99;80;4.18;1.641;10.5;0.8;4.2;8.4;2
43;Tucker Barnhart;32;CHC;NL;0;0;0;0;2;0;2;0;0;0;2;3;0;0;0;0;0;0;0;0;0;9;0;3.29;1.5;13.5;0;0;0;0
44;Jaime Barria;26;LAA;AL;2;5;0.286;3.64;21;6;8;0;0;0;59.1;51;31;24;10;17;3;48;2;1;1;242;123;4.82;1.146;7.7;1.5;2.6;7.3;2.82
45;Anthony Bass;35;TOR;AL;0;0;0;4.95;22;0;7;0;0;0;20;19;12;11;3;9;2;19;0;0;1;88;86;4.69;1.4;8.6;1.4;4.1;8.6;2.11
46;Chris Bassitt;34;TOR;AL;10;5;0.667;3.92;21;21;0;1;1;0;121.2;110;60;53;18;37;0;112;11;2;2;513;107;4.55;1.208;8.1;1.3;2.7;8.3;3.03
47;Peyton Battenfield;25;CLE;AL;0;5;0;5.19;7;6;1;0;0;0;34.2;34;22;20;7;12;0;27;0;0;1;146;81;5.39;1.327;8.8;1.8;3.1;7;2.25
48;Mike Baumann;27;BAL;AL;6;0;1;3.69;43;0;10;0;0;0;46.1;34;20;19;4;26;1;50;2;0;5;193;114;4.07;1.295;6.6;0.8;5.1;9.7;1.92
49;Félix Bautista;28;BAL;AL;5;1;0.833;0.94;44;0;38;0;0;27;48;21;9;5;3;19;0;93;2;0;6;184;449;1.54;0.833;3.9;0.6;3.6;17.4;4.89
50;Eduard Bazardo;27;BAL;AL;0;0;0;15.43;3;0;2;0;0;0;2.1;6;4;4;0;0;0;1;0;0;0;13;31;2.43;2.571;23.1;0;0;3.9;0
51;Matt Beaty;30;SFG;NL;0;0;0;27;1;0;1;0;0;0;1;3;3;3;0;1;0;1;0;0;0;7;22;4.29;4;27;0;9;9;1
52;Tristan Beck;27;SFG;NL;1;0;1;3.06;20;0;9;0;0;2;50;44;18;17;6;12;0;38;2;0;3;204;141;4.17;1.12;7.9;1.1;2.2;6.8;3.17
53;David Bednar;28;PIT;NL;3;1;0.75;1.15;38;0;32;0;0;19;39;28;9;5;1;9;3;47;1;0;1;155;390;1.98;0.949;6.5;0.2;2.1;10.8;5.22
54;Jalen Beeks*;29;TBR;AL;2;3;0.4;6.27;27;7;6;0;0;1;37.1;36;26;26;4;19;0;40;1;0;3;169;66;4.15;1.473;8.7;1;4.6;9.6;2.11
55;Andrew Bellatti;31;PHI;NL;1;0;1;5.06;19;0;3;0;0;0;16;14;10;9;2;10;0;17;0;0;0;73;87;4.66;1.5;7.9;1.1;5.6;9.6;1.7
56;Brayan Bello;24;BOS;AL;7;6;0.538;3.6;16;16;0;0;0;0;90;86;38;36;13;24;0;78;4;0;1;380;130;4.37;1.222;8.6;1.3;2.4;7.8;3.25
57;Brennan Bernardino*;31;BOS;AL;1;0;1;2.48;28;3;6;0;0;0;32.2;26;10;9;2;8;0;35;2;0;1;128;189;2.86;1.041;7.2;0.6;2.2;9.6;4.38
58;José Berríos;29;TOR;AL;8;7;0.533;3.39;20;20;0;0;0;0;119.1;105;48;45;13;34;1;114;7;1;3;488;123;3.83;1.165;7.9;1;2.6;8.6;3.35
59;Prelander Berroa;23;SEA;AL;0;0;0;0;1;0;0;0;0;0;0.2;0;0;0;0;3;0;1;0;0;1;5;0;13.79;4.5;0;0;40.5;13.5;0.33
60;Christian Bethancourt;31;TBR;AL;0;0;0;81;1;0;1;0;0;0;0.1;3;3;3;1;0;0;0;0;0;0;4;11;42.29;9;81;27;0;0;0
61;Tanner Bibee;24;CLE;AL;6;2;0.75;3.04;15;15;0;0;0;0;83;70;30;28;7;29;0;85;4;0;6;346;137;3.53;1.193;7.6;0.8;3.1;9.2;2.93
62;Phil Bickford;27;LAD;NL;2;2;0.5;5.26;33;0;10;0;0;0;39.1;36;24;23;5;23;3;46;0;1;3;176;85;4.36;1.5;8.2;1.1;5.3;10.5;2
63;Osvaldo Bido;27;PIT;NL;2;1;0.667;4.5;8;6;0;0;0;0;30;33;15;15;1;13;0;28;5;0;0;141;100;3.66;1.533;9.9;0.3;3.9;8.4;2.15
64;Shane Bieber;28;CLE;AL;5;6;0.455;3.77;19;19;0;1;0;0;117;113;50;49;14;33;0;95;3;1;6;489;110;4.14;1.248;8.7;1.1;2.5;7.3;2.88
65;Brandon Bielak;27;HOU;AL;5;5;0.5;3.46;12;11;0;0;0;0;65;65;28;25;10;26;0;50;4;0;2;278;121;5.14;1.4;9;1.4;3.6;6.9;1.92
66;Jake Bird;27;COL;NL;2;1;0.667;4.03;45;2;4;0;0;0;58;61;30;26;3;19;0;54;4;0;2;247;125;3.29;1.379;9.5;0.5;2.9;8.4;2.84
67;Ty Blach*;32;COL;NL;0;0;0;6.75;7;0;2;0;0;0;13.1;24;13;10;2;2;0;5;1;0;0;66;76;5.16;1.95;16.2;1.4;1.4;3.4;2.5
68;Paul Blackburn;29;OAK;AL;1;2;0.333;5.06;10;9;0;0;0;0;48;58;28;27;5;18;0;49;3;0;0;221;81;3.91;1.583;10.9;0.9;3.4;9.2;2.72
69;Ronel Blanco;29;HOU;AL;2;1;0.667;4.7;15;6;7;0;0;0;46;42;27;24;12;24;0;48;2;0;2;199;90;6.29;1.435;8.2;2.3;4.7;9.4;2
70;Richard Bleier*;36;BOS;AL;1;0;1;5.09;21;0;2;0;0;0;23;28;15;13;4;4;1;14;2;0;3;100;93;5.12;1.391;11;1.6;1.6;5.5;3.5
71;Cody Bolton;25;PIT;NL;0;0;0;9.9;7;0;2;0;0;0;10;18;11;11;2;10;0;10;1;0;0;58;47;7.19;2.8;16.2;1.8;9;9;1
72;Ryan Borucki*;29;PIT;NL;1;0;1;4.05;12;1;0;0;0;0;13.1;11;6;6;2;0;0;14;3;0;0;53;113;3.81;0.825;7.4;1.4;0;9.5;0
73;Brad Boxberger;35;CHC;NL;0;1;0;5.52;17;0;4;0;0;2;14.2;13;9;9;3;9;1;13;1;0;0;65;83;6.22;1.5;8;1.8;5.5;8;1.44
74;Matthew Boyd*;32;DET;AL;5;5;0.5;5.45;15;15;0;0;0;0;71;69;46;43;11;25;0;73;2;0;2;303;79;4.39;1.324;8.7;1.4;3.2;9.3;2.92
75;Silvino Bracho;30;CIN;NL;0;0;0;3.68;5;0;2;0;0;0;7.1;5;3;3;0;6;0;6;0;0;0;31;134;4.11;1.5;6.1;0;7.4;7.4;1
76;Cody Bradford*;25;TEX;AL;2;1;0.667;4.78;10;5;2;0;0;0;32;28;17;17;6;8;0;29;1;0;0;130;92;4.76;1.125;7.9;1.7;2.3;8.2;3.63
77;Kyle Bradish;26;BAL;AL;6;5;0.545;3.05;18;18;0;0;0;0;97.1;85;34;33;9;25;0;92;5;0;5;397;137;3.53;1.13;7.9;0.8;2.3;8.5;3.68
78;Archie Bradley;30;MIA;NL;0;0;0;11.05;4;0;2;0;0;0;7.1;13;10;9;2;3;0;7;1;0;1;39;41;6.56;2.182;16;2.5;3.7;8.6;2.33
79;Taj Bradley;22;TBR;AL;5;6;0.455;5.29;14;14;0;0;0;0;66.1;71;42;39;12;21;0;89;1;0;3;291;78;3.95;1.387;9.6;1.6;2.8;12.1;4.24
80;Matt Brash;25;SEA;AL;4;3;0.571;3.57;47;0;3;0;0;1;40.1;39;18;16;1;17;0;70;5;0;5;180;116;1.78;1.388;8.7;0.2;3.8;15.6;4.12
81;Ryan Brasier;35;TOT;MLB;2;0;1;5.03;32;0;13;0;0;2;34;29;21;19;2;14;1;29;2;0;3;143;92;3.76;1.265;7.7;0.5;3.7;7.7;2.07
82;Ryan Brasier;35;BOS;AL;1;0;1;7.29;20;0;10;0;0;1;21;24;18;17;2;9;0;18;2;0;2;95;65;4.38;1.571;10.3;0.9;3.9;7.7;2
83;Ryan Brasier;35;LAD;NL;1;0;1;1.38;12;0;3;0;0;1;13;5;3;2;0;5;1;11;0;0;1;48;327;2.75;0.769;3.5;0;3.5;7.6;2.2
84;Huascar Brazoban;33;MIA;NL;3;2;0.6;3.72;41;0;4;0;0;0;48.1;48;21;20;4;21;1;49;2;0;1;209;117;3.76;1.428;8.9;0.7;3.9;9.1;2.33
85;John Brebbia;33;SFG;NL;2;0;1;3.14;29;8;3;0;0;0;28.2;21;10;10;2;10;1;36;0;0;0;116;138;2.73;1.081;6.6;0.6;3.1;11.3;3.6
86;Colten Brewer;30;NYY;AL;0;0;0;4.32;3;0;1;0;0;0;8.1;6;4;4;3;3;0;4;1;0;1;34;102;8.45;1.08;6.5;3.2;3.2;4.3;1.33
87;Beau Brieske;25;DET;AL;0;0;0;5.4;3;0;1;0;0;0;3.1;3;2;2;0;1;0;3;0;0;0;14;88;2.39;1.2;8.1;0;2.7;8.1;3
88;Jeff Brigham;31;NYM;NL;0;2;0;5.16;32;0;7;0;0;0;29.2;18;18;17;6;13;0;33;5;0;0;124;81;5.51;1.045;5.5;1.8;3.9;10;2.54
89;Braden Bristo;28;TOT;AL;0;0;0;2.57;3;0;3;0;0;1;7;5;3;2;0;4;1;5;0;0;1;30;181;3.57;1.286;6.4;0;5.1;6.4;1.25
90;Braden Bristo;28;TBR;AL;0;0;0;0;1;0;1;0;0;1;3;0;0;0;0;1;0;4;0;0;1;10;0;1.62;0.333;0;0;3;12;4
91;Braden Bristo;28;DET;AL;0;0;0;4.5;2;0;2;0;0;0;4;5;3;2;0;3;1;1;0;0;0;20;104;5.04;2;11.3;0;6.8;2.3;0.33
92;Jhony Brito;25;NYY;AL;4;4;0.5;4.7;12;11;0;0;0;0;51.2;48;30;27;8;21;0;35;2;1;0;219;90;5.28;1.335;8.4;1.4;3.7;6.1;1.67
93;Connor Brogdon;28;PHI;NL;2;1;0.667;4.03;27;1;3;0;0;0;29;29;14;13;5;13;0;26;1;0;2;127;108;5.19;1.448;9;1.6;4;8.1;2
94;Mike Brosseau;29;MIL;NL;0;0;0;3.86;3;0;3;0;0;0;2.1;1;1;1;1;1;0;0;0;0;0;9;129;10.15;0.857;3.9;3.9;3.9;0;0
95;Hunter Brown;24;HOU;AL;6;7;0.462;4.26;18;18;0;0;0;0;99.1;98;51;47;11;33;0;118;5;0;2;418;98;3.5;1.319;8.9;1;3;10.7;3.58
96;Justin Bruihl*;26;LAD;NL;1;0;1;3.22;18;0;8;0;0;0;22.1;22;8;8;2;5;0;17;2;0;2;91;139;3.87;1.209;8.9;0.8;2;6.9;3.4
97;Kris Bubic*;25;KCR;AL;0;2;0;3.94;3;3;0;0;0;0;16;19;7;7;1;2;0;16;1;0;1;68;114;2.66;1.313;10.7;0.6;1.1;9;8
98;J.B. Bukauskas;26;TOT;MLB;0;0;0;3;3;0;0;0;0;0;3;2;2;1;0;3;1;3;1;0;1;14;176;5.29;1.667;6;0;9;9;1
99;J.B. Bukauskas;26;SEA;AL;0;0;0;9;1;0;0;0;0;0;1;2;2;1;0;2;1;1;0;0;1;7;63;7.29;4;18;0;18;9;0.5
100;J.B. Bukauskas;26;MIL;NL;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;1;0;2;1;0;0;7;0;4.29;0.5;0;0;4.5;9;2
101;Madison Bumgarner*;33;ARI;NL;0;3;0;10.26;4;4;0;0;0;0;16.2;25;20;19;4;15;0;10;1;0;0;90;42;8.09;2.4;13.5;2.2;8.1;5.4;0.67
102;Aaron Bummer*;29;CHW;AL;3;2;0.6;6.82;39;0;6;0;0;0;34.1;33;27;26;0;17;3;43;1;0;3;154;64;2.36;1.456;8.7;0;4.5;11.3;2.53
103;Nick Burdi;30;CHC;NL;0;0;0;9;3;0;2;0;0;0;3;3;3;3;0;3;0;4;0;0;1;15;55;3.62;2;9;0;9;12;1.33
104;Zack Burdi;28;TBR;AL;0;0;0;11.25;3;0;1;0;0;0;4;6;6;5;0;2;0;5;0;0;2;20;40;2.29;2;13.5;0;4.5;11.3;2.5
105;Brock Burke*;26;TEX;AL;4;2;0.667;2.77;32;0;4;0;0;0;39;37;14;12;5;6;3;30;2;0;0;160;158;4.03;1.103;8.5;1.2;1.4;6.9;5
106;Alec Burleson*;24;STL;NL;0;0;0;21.6;2;0;2;0;0;0;1.2;8;4;4;1;0;0;1;0;0;0;13;24;9.89;4.8;43.2;5.4;0;5.4;0
107;Corbin Burnes;28;MIL;NL;9;5;0.643;3.49;20;20;0;0;0;0;121.1;87;51;47;14;42;0;125;6;0;5;492;125;3.92;1.063;6.5;1;3.1;9.3;2.98
108;Alan Busenitz;32;CIN;NL;0;0;0;4.5;4;0;3;0;0;0;4;7;2;2;0;1;1;3;0;0;0;20;113;2.54;2;15.8;0;2.3;6.8;3
109;Matt Bush;37;MIL;NL;0;2;0;9.58;12;0;4;0;0;1;10.1;11;11;11;5;6;0;10;0;0;0;48;47;9.39;1.645;9.6;4.4;5.2;8.7;1.67
110;José Butto;25;NYM;NL;0;1;0;3;3;2;0;0;0;0;12;10;4;4;1;11;0;5;0;0;0;56;141;6.29;1.75;7.5;0.8;8.3;3.8;0.45
111;Edward Cabrera;25;MIA;NL;5;5;0.5;4.5;15;15;0;0;0;0;72;55;36;36;10;44;0;90;3;3;0;310;97;4.55;1.375;6.9;1.3;5.5;11.3;2.05
112;Génesis Cabrera*;26;STL;NL;1;1;0.5;5.06;32;0;10;0;0;0;32;32;18;18;6;18;0;38;0;1;0;143;86;5.04;1.563;9;1.7;5.1;10.7;2.11
113;Blair Calvo;27;COL;NL;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;3.29;0;0;0;0;0;0
114;Isaiah Campbell;25;SEA;AL;1;0;1;0;4;0;1;0;0;0;4;1;0;0;0;2;0;6;1;0;1;16;0;2.54;0.75;2.3;0;4.5;13.5;3
115;Griffin Canning;27;LAA;AL;6;4;0.6;4.52;15;15;0;0;0;0;79.2;73;41;40;15;25;0;83;4;0;3;335;99;4.75;1.23;8.2;1.7;2.8;9.4;3.32
116;Yennier Cano;29;BAL;AL;1;1;0.5;1.51;42;0;7;0;0;4;47.2;38;8;8;2;6;1;41;2;1;1;178;279;2.62;0.923;7.2;0.4;1.1;7.7;6.83
117;Matt Carasiti;31;COL;NL;1;0;1;7.06;14;0;2;0;0;1;21.2;26;19;17;3;11;0;14;1;0;1;101;72;5.46;1.708;10.8;1.2;4.6;5.8;1.27
118;Drew Carlton;27;SDP;NL;2;1;0.667;4.35;11;0;1;0;0;0;20.2;18;12;10;2;6;0;18;1;0;1;85;95;3.82;1.161;7.8;0.9;2.6;7.8;3
119;Carlos Carrasco;36;NYM;NL;3;3;0.5;5.35;13;13;0;0;0;0;65.2;66;40;39;13;29;0;48;5;0;1;289;77;5.95;1.447;9;1.8;4;6.6;1.66
120;Daniel Castano*;28;MIA;NL;0;0;0;27;1;0;1;0;0;0;1;2;3;3;2;1;0;2;0;0;0;6;22;28.29;3;18;18;9;18;2
121;Diego Castillo;29;SEA;AL;0;0;0;6.23;8;0;1;0;0;0;8.2;7;6;6;2;7;0;7;1;0;0;41;69;7.44;1.615;7.3;2.1;7.3;7.3;1
122;José Castillo*;27;SDP;NL;0;0;0;108;1;0;0;0;0;0;0.1;2;4;4;0;2;0;0;1;0;0;6;8;30.29;12;54;0;54;0;0
123;Luis Castillo;30;SEA;AL;6;7;0.462;3.04;20;20;0;0;0;0;118.1;94;48;40;19;30;0;133;3;0;3;480;135;3.97;1.048;7.1;1.4;2.3;10.1;4.43
124;Max Castillo;24;KCR;AL;0;1;0;4.24;5;0;2;0;0;0;17;17;8;8;2;6;1;10;1;0;0;73;106;4.88;1.353;9;1.1;3.2;5.3;1.67
125;Harold Castro;29;COL;NL;0;0;0;9;2;0;2;0;0;0;2;4;2;2;0;1;0;0;1;0;0;11;64;6.29;2.5;18;0;4.5;0;0
126;Miguel Castro;28;ARI;NL;5;4;0.556;3.83;44;0;16;0;0;7;40;27;17;17;5;15;3;32;1;0;0;161;112;4.51;1.05;6.1;1.1;3.4;7.2;2.13
127;Willi Castro;26;MIN;AL;0;0;0;0;2;0;2;0;0;0;1.1;1;0;0;0;0;0;0;0;0;0;4;0;3.29;0.75;6.8;0;0;0;0
128;Dylan Cease;27;CHW;AL;4;3;0.571;4.04;21;21;0;0;0;0;113.2;102;56;51;12;47;1;138;6;0;5;492;108;3.63;1.311;8.1;1;3.7;10.9;2.94
129;Luis Cessa;31;CIN;NL;1;4;0.2;9;7;6;0;0;0;0;26;46;26;26;3;12;0;11;1;0;2;132;53;5.44;2.231;15.9;1;4.2;3.8;0.92
130;Andrew Chafin*;33;ARI;NL;2;2;0.5;2.97;41;0;14;0;0;8;33.1;27;12;11;3;15;0;46;0;0;1;140;144;3.05;1.26;7.3;0.8;4.1;12.4;3.07
131;Aroldis Chapman*;35;TOT;AL;5;2;0.714;2.04;37;0;11;0;0;3;35.1;18;10;8;0;20;0;63;0;1;2;142;219;1.42;1.075;4.6;0;5.1;16;3.15
132;Aroldis Chapman*;35;KCR;AL;4;2;0.667;2.45;31;0;9;0;0;2;29.1;16;10;8;0;20;0;53;0;1;2;122;181;1.72;1.227;4.9;0;6.1;16.3;2.65
133;Aroldis Chapman*;35;TEX;AL;1;0;1;0;6;0;2;0;0;1;6;2;0;0;0;0;0;10;0;0;0;20;0;-0.04;0.333;3;0;0;15;0
134;JT Chargois;32;MIA;NL;1;0;1;3.51;28;0;5;0;0;1;25.2;19;10;10;2;10;1;20;0;0;0;103;125;3.91;1.13;6.7;0.7;3.5;7;2
135;Jesse Chavez;39;ATL;NL;0;0;0;1.55;31;1;6;0;0;1;29;21;6;5;1;9;0;36;3;0;0;117;294;2.5;1.034;6.5;0.3;2.8;11.2;4
